id,citing,cited
oci:06902852817-06320164131,omid:br/06902852817,omid:br/06320164131
oci:06402139830-06701357266,omid:br/06402139830,omid:br/06701357266
oci:06704389480-06303452829,omid:br/06704389480,omid:br/06303452829
oci:06801883052-06903682776,omid:br/06801883052,omid:br/06903682776
oci:06470156450-061702401159,omid:br/06470156450,omid:br/061702401159
oci:06102950032-061101555607,omid:br/06102950032,omid:br/061101555607
oci:062203942821-06603726633,omid:br/062203942821,omid:br/06603726633
oci:06310171569-062302418949,omid:br/06310171569,omid:br/062302418949
oci:06270127598-062103978838,omid:br/06270127598,omid:br/062103978838
oci:06440179094-06210956380,omid:br/06440179094,omid:br/06210956380
oci:06804347812-062201745951,omid:br/06804347812,omid:br/062201745951
oci:06310122464-06190816084,omid:br/06310122464,omid:br/06190816084
oci:06604380357-06210542604,omid:br/06604380357,omid:br/06210542604
oci:06420104760-061202390775,omid:br/06420104760,omid:br/061202390775
oci:06140925067-06804131709,omid:br/06140925067,omid:br/06804131709
oci:062504010776-062202384339,omid:br/062504010776,omid:br/062202384339
oci:06290113420-06230223708,omid:br/06290113420,omid:br/06230223708
oci:06110518003-06160513734,omid:br/06110518003,omid:br/06160513734
oci:06510114179-061303047337,omid:br/06510114179,omid:br/061303047337
oci:06350115366-061201007623,omid:br/06350115366,omid:br/061201007623
oci:061703858807-06501569947,omid:br/061703858807,omid:br/06501569947
oci:06430164990-06240123695,omid:br/06430164990,omid:br/06240123695
oci:06104351541-06110939163,omid:br/06104351541,omid:br/06110939163
oci:062402894574-06204110598,omid:br/062402894574,omid:br/06204110598
oci:062302248524-06303275223,omid:br/062302248524,omid:br/06303275223
oci:061603887026-06230753660,omid:br/061603887026,omid:br/06230753660
oci:06204443760-062202441807,omid:br/06204443760,omid:br/062202441807
oci:06703155237-06401413182,omid:br/06703155237,omid:br/06401413182
oci:061602304178-06290184958,omid:br/061602304178,omid:br/06290184958
oci:06470136045-06801521417,omid:br/06470136045,omid:br/06801521417
oci:06804364318-06160518539,omid:br/06804364318,omid:br/06160518539
oci:06240269543-06440187702,omid:br/06240269543,omid:br/06440187702
oci:06504378481-06201319817,omid:br/06504378481,omid:br/06201319817
oci:06404343474-06210564340,omid:br/06404343474,omid:br/06210564340
oci:06704319618-061602264047,omid:br/06704319618,omid:br/061602264047
oci:06804362510-061301680583,omid:br/06804362510,omid:br/061301680583
oci:062403936594-061101527354,omid:br/062403936594,omid:br/061101527354
oci:06470175683-061102461565,omid:br/06470175683,omid:br/061102461565
oci:06450130153-06404272811,omid:br/06450130153,omid:br/06404272811
oci:061903898726-06503482961,omid:br/061903898726,omid:br/06503482961
oci:06440171595-06201688981,omid:br/06440171595,omid:br/06201688981
oci:06340118409-06250975037,omid:br/06340118409,omid:br/06250975037
oci:062203985600-06902817585,omid:br/062203985600,omid:br/06902817585
oci:06290140889-06230664425,omid:br/06290140889,omid:br/06230664425
oci:06340156762-06120889710,omid:br/06340156762,omid:br/06120889710
oci:061103959304-06120664116,omid:br/061103959304,omid:br/06120664116
oci:06604445468-061601955909,omid:br/06604445468,omid:br/061601955909
oci:06302524413-06704233916,omid:br/06302524413,omid:br/06704233916
oci:06460133833-06403526068,omid:br/06460133833,omid:br/06403526068
oci:06904043314-06703133926,omid:br/06904043314,omid:br/06703133926
oci:06104376769-06102170897,omid:br/06104376769,omid:br/06102170897
oci:06470179686-06180669550,omid:br/06470179686,omid:br/06180669550
oci:06404421881-06301803353,omid:br/06404421881,omid:br/06301803353
oci:06480138820-06260443109,omid:br/06480138820,omid:br/06260443109
oci:06380101391-06110595098,omid:br/06380101391,omid:br/06110595098
oci:06370194074-06180976486,omid:br/06370194074,omid:br/06180976486
oci:06601712689-061301699448,omid:br/06601712689,omid:br/061301699448
oci:06903997753-06903521889,omid:br/06903997753,omid:br/06903521889
oci:06290130444-06503361022,omid:br/06290130444,omid:br/06503361022
oci:06320173798-06903086000,omid:br/06320173798,omid:br/06903086000
oci:061903918651-06501896418,omid:br/061903918651,omid:br/06501896418
oci:06320130052-06160345824,omid:br/06320130052,omid:br/06160345824
oci:06510116430-061103061584,omid:br/06510116430,omid:br/061103061584
oci:06804336210-06160504424,omid:br/06804336210,omid:br/06160504424
oci:06604447870-06170411744,omid:br/06604447870,omid:br/06170411744
oci:06450110814-06502204717,omid:br/06450110814,omid:br/06502204717
oci:06510173447-06501269563,omid:br/06510173447,omid:br/06501269563
oci:061403849264-06301463846,omid:br/061403849264,omid:br/06301463846
oci:06704384986-06903076477,omid:br/06704384986,omid:br/06903076477
oci:06404353461-06170557572,omid:br/06404353461,omid:br/06170557572
oci:06804417869-06103076642,omid:br/06804417869,omid:br/06103076642
oci:06804401471-06402134115,omid:br/06804401471,omid:br/06402134115
oci:06160563571-06130761252,omid:br/06160563571,omid:br/06130761252
oci:06403454612-062403331206,omid:br/06403454612,omid:br/062403331206
oci:061201538418-06530105243,omid:br/061201538418,omid:br/06530105243
