id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,doi,pmid,other_id,pub_year,pub_month,pub_day
omid:br/06160518539 pmid:27115790 doi:10.1111/bcp.12988,"Brentuximab Vedotin, An AntibodyDrug Conjugate, In Patients With CD30positive Haematologic Malignancies And Hepatic Or Renal Impairment","Zhao, Baiteng, Chen, Robert, O'Connor, Owen A., Gopal, Ajay, Ramchandren, Radhakrishnan, Goy, Andre, Matous, Jeffrey V., Fasanmade, Adedigbo A., Manley, Thomas J., Han, Tae H.",3,82.0,British Journal Of Clinical Pharmacology,696-705,2016-05-29,journal article,Wiley,,omid:br/06160518539,doi:10.1111/bcp.12988,pmid:27115790,,2016.0,5.0,29.0
omid:br/06401054613 pmid:7442471 doi:10.1007/bf02534371,Effect Of Chronic Ingestion Of DDT On Physiological And Biochemical Aspects Of Essential Fatty Acid Deficiency,"Sampson, David A., Pitas, Robert E., Jensen, Robert G.",10,15,Lipids,815-822,1980-10,journal article,Wiley,,omid:br/06401054613,doi:10.1007/bf02534371,pmid:7442471,,1980.0,10.0,1.0
omid:br/06401054669 doi:10.1007/bf02534941 pmid:7078357,Influence Of Vitamin E And Nitrogen Dioxide On Lipid Peroxidation In Rat Lung And Liver Microsomes,"Sevanian, Alex, Hacker, Allen D., Elsayed, Nabil",4,17,Lipids,269-277,1982-04,journal article,Wiley,,omid:br/06401054669,doi:10.1007/bf02534941,pmid:7078357,,1982.0,4.0,1.0
omid:br/06401054679 pmid:6897667 doi:10.1007/bf02534583,Source Of Lung Surfactant Phospholipids: Comparison Of Palmitate And Acetate As Precursors,"Sato, Tadahiro, Akino, Toyoaki",12,17,Lipids,884-892,1982-12,journal article,Wiley,,omid:br/06401054679,doi:10.1007/bf02534583,pmid:6897667,,1982.0,12.0,1.0
omid:br/06401054663 doi:10.1007/bf02534669,Phospholipids ofRhizobium Meliloti andAgrobacterium Tumefaciens: Lack Of Effect Of Ti Plasmid,"Thompson, Emily A., Kaufman, Allan E., Johnston, Norah C., Goldfine, Howard",9,18,Lipids,602-606,1983-09,journal article,Wiley,,omid:br/06401054663,doi:10.1007/bf02534669,,,1983.0,9.0,1.0
omid:br/06401054689 pmid:7242271 doi:10.1007/bf02535690,Chaulmoogric Acid: Assimilation Into The Complex Lipids Of Mycobacteria,"Cabot, Myles C., Goucher, Charles R.",2,16,Lipids,146-148,1981-02,journal article,Wiley,,omid:br/06401054689,doi:10.1007/bf02535690,pmid:7242271,,1981.0,2.0,1.0
omid:br/06401054685 doi:10.1007/bf02532842 pmid:178973,Lipids ofKlebsiella Pneumoniae: The Presence Of Phosphatidyl Choline In Succinate-Grown Cells,"Wassef, Momtaz K.",5,11,Lipids,364-369,1976-05,journal article,Wiley,,omid:br/06401054685,doi:10.1007/bf02532842,pmid:178973,,1976.0,5.0,1.0
omid:br/06401054638 pmid:4833437 doi:10.1007/bf02532206,"Sterols, Aliphatic Hydrocarbons, And Fatty Acids Of A Nonphotosynthetic diatom,Nitzschia Alba","Tornabene, T. G., Kates, M., Volcani, B. E.",4,9,Lipids,279-284,1974-04,journal article,Wiley,,omid:br/06401054638,doi:10.1007/bf02532206,pmid:4833437,,1974.0,4.0,1.0
omid:br/06401054687 doi:10.1007/bf02536249 pmid:7854007,Differential Effects Of Eicosapentaenoic Acid And Docosahexaenoic Acid On Human Skin Fibroblasts,"Brown, Eric R., Subbaiah, Papasani V.",12,29,Lipids,825-829,1994-12,journal article,Wiley,,omid:br/06401054687,doi:10.1007/bf02536249,pmid:7854007,,1994.0,12.0,1.0
omid:br/06201394247 pmid:17562331 doi:10.1016/j.cellimm.2007.04.005,Mycobacterium Bovis Bacillus CalmetteGurin (BCG)-induced CXCL8 Production Is Mediated Through PKC-dependent Activation Of The IKK Signaling Pathway In Epithelial Cells,"Mndez-Samperio, Patricia, Alba, Laura, Prez, Aline",2,245.0,Cellular Immunology,111-118,2007-02,journal article,Elsevier Bv,,omid:br/06201394247,doi:10.1016/j.cellimm.2007.04.005,pmid:17562331,,2007.0,2.0,1.0
